Article_ID,Category_ID
A0001,C0098,C0126
A0002,C0005,C0122
A0003,C0092
A0004,C0005,C0122
A0005,C0098,C0126
A0006,C0021
A0007,C0068
A0008,C0068
A0009,C0068
A0010,C0068
A0011,C0068
A0012,C0070
A0013,C0068
A0014,C0144
A0015,C0144
A0016,C0068
A0017,C0068
A0018,C0068
A0019,C0046
A0020,C0068
A0021,C0064
A0022,C0073
A0023,C0059
A0024,C0061
A0025,C0068
A0026,C0144
A0027,C0068
A0028,C0068
A0029,C0035
A0030,C0035
A0031,C0061
A0032,C0061
A0033,C0059
A0034,C0064
A0035,C0073
A0036,C0061
A0037,C0061
A0038,C0061
A0039,C0068
A0040,C0068
A0041,C0068
A0042,C0144
A0043,C0068
A0044,C0035
A0045,C0035
A0046,C0035
A0047,C0144
A0048,C0144
A0049,C0144
A0050,C0144
A0051,C0068
A0052,C0144
A0053,C0144
A0054,C0144
A0055,C0144
A0056,C0144
A0057,C0068
A0058,C0035
A0059,C0068
A0060,C0068
A0061,C0068
A0062,C0144
A0063,C0068
A0064,C0108
A0065,C0133
A0066,C0090
A0067,C0133
A0068,C0070
A0069,C0035
A0070,C0076
A0071,C0020
A0072,C0143
A0073,C0084
A0074,C0084
A0075,C0084
A0076,C0089
A0077,C0053
A0078,C0135
A0079,C0053
A0080,C0137
A0081,C0012,C0040
A0082,C0058
A0083,C0065
A0084,C0098
A0085,C0065
A0086,C0115,C0125
A0087,C0086
A0088,C0115,C0125
A0089,C0097
A0090,C0056
A0091,C0143
A0092,C0056
A0093,C0116
A0094,C0049
A0095,C0005,C0123
A0096,C0070
A0097,C0110
A0098,C0109
A0099,C0039
A0100,C0143
A0101,C0017
A0102,C0005,C0124
A0103,C0049
A0104,C0143
A0105,C0019
A0106,C0049
A0107,C0138
A0108,C0138
A0109,C0065
A0110,C0133
A0111,C0028,C0054
A0112,C0020,C0076
A0113,C0139
A0114,C0132
A0115,C0086
A0116,C0125
A0117,C0022
A0118,C0022,C0098
A0119,C0049
A0120,C0057
A0121,C0138
A0122,C0107
A0123,C0105
A0124,C0098
A0125,C0019,C0040
A0126,C0133
A0127,C0135
A0128,C0005,C0123
A0129,C0049
A0130,C0083
A0131,C0129
A0132,C0135
A0133,C0135
A0134,C0129
A0135,C0049
A0136,C0129
A0137,C0129
A0138,C0129
A0139,C0129
A0140,C0031
A0141,C0135
A0142,C0134
A0143,C0134
A0144,C0068
A0145,C0081
A0146,C0098
A0147,C0113
A0148,C0079
A0149,C0113
A0150,C0042
A0151,C0032
A0152,C0032
A0153,C0032
A0154,C0032
A0155,C0032
A0156,C0075
A0157,C0098
A0158,C0065,C0098
A0159,C0106
A0160,C0065
A0161,C0053
A0162,C0065
A0163,C0030,C0031
A0164,C0130
A0165,C0100
A0166,C0005,C0122
A0167,C0129
A0168,C0093
A0169,C0096
A0170,C0130
A0171,C0072,C0114
A0172,C0133
A0173,C0100
A0174,C0110
A0175,C0140
A0176,C0065,C0098
A0177,C0140
A0178,C0110
A0179,C0101
A0180,C0098
A0181,C0096
A0182,C0098
A0183,C0101
A0184,C0106
A0185,C0094
A0186,C0101,C0102,C0126
A0187,C0012
A0188,C0005,C0120
A0189,C0070
A0190,C0049
A0191,C0144
A0192,C0035
A0193,C0012
A0194,C0084
A0195,C0047
A0196,C0088
A0197,C0079
A0198,C0111
A0199,C0116
A0200,C0134
A0201,C0085
A0202,C0130
A0203,C0055
A0204,C0042,C0137
A0205,C0135
A0206,C0082
A0207,C0034
A0208,C0132
A0209,C0089
A0210,C0139
A0211,C0138
A0212,C0133
A0213,C0137
A0214,C0062
A0215,C0051
A0216,C0051
A0217,C0051
A0218,C0129
A0219,C0060
A0220,C0098
A0221,C0072
A0222,C0081
A0223,C0072
A0224,C0057
A0225,C0045
A0226,C0089
A0227,C0139
A0228,C0063
A0229,C0060
A0230,C0138
A0231,C0060
A0232,C0130
A0233,C0053
