Article_Name,Article_ID
%C3%81ed%C3%A1n_mac_Gabr%C3%A1in,A0001
%C3%85land,A0002
%C3%89douard_Manet,A0003
%C3%89ire,A0004
%C3%93engus_I_of_the_Picts,A0005
%E2%82%AC2_commemorative_coins,A0006
10th_century,A0007
11th_century,A0008
12th_century,A0009
13th_century,A0010
14th_century,A0011
15th_Marine_Expeditionary_Unit,A0012
15th_century,A0013
16_Cygni,A0014
16_Cygni_Bb,A0015
16th_century,A0016
1755_Lisbon_earthquake,A0017
17th_century,A0018
1896_Summer_Olympics,A0019
18th_century,A0020
1928_Okeechobee_Hurricane,A0021
1973_oil_crisis,A0022
1980_eruption_of_Mount_St._Helens,A0023
1997_Pacific_hurricane_season,A0024
19th_century,A0025
1_Ceres,A0026
1st_century,A0027
1st_century_BC,A0028
2-6-0,A0029
2-8-0,A0030
2003_Atlantic_hurricane_season,A0031
2004_Atlantic_hurricane_season,A0032
2004_Indian_Ocean_earthquake,A0033
2005_Atlantic_hurricane_season,A0034
2005_Hertfordshire_Oil_Storage_Terminal_fire,A0035
2005_Kashmir_earthquake,A0036
2005_Lake_Tanganyika_earthquake,A0037
2005_Sumatra_earthquake,A0038
20th_century,A0039
21st_century,A0040
2nd_century,A0041
3_Juno,A0042
3rd_century,A0043
4-2-0,A0044
4-4-0,A0045
4-6-0,A0046
47_Ursae_Majoris,A0047
47_Ursae_Majoris_b,A0048
47_Ursae_Majoris_c,A0049
4_Vesta,A0050
4th_century,A0051
55_Cancri,A0052
55_Cancri_b,A0053
55_Cancri_c,A0054
55_Cancri_d,A0055
55_Cancri_e,A0056
5th_century,A0057
6-2-0,A0058
6th_century,A0059
7th_century,A0060
8th_century,A0061
90377_Sedna,A0062
9th_century,A0063
A._E._J._Collins,A0064
ABO_blood_group_system,A0065
AC_DC,A0066
AIDS,A0067
AK-47,A0068
ALCO_FA,A0069
ASCII,A0070
AT%26T,A0071
ATLAS_experiment,A0072
A_Christmas_Carol,A0073
A_Tale_of_a_Tub,A0074
A_Wrinkle_in_Time,A0075
A_cappella,A0076
Aachen,A0077
Aardvark,A0078
Aarhus,A0079
Abac%C3%A1,A0080
Abacus,A0081
Abadan,A0082
Abbadid,A0083
Abbas_I_of_Persia,A0084
Abbasid,A0085
Abbey,A0086
Abbey_Theatre,A0087
Abbot,A0088
Abel_Tasman,A0089
Aberdeen,A0090
Aberration_of_light,A0091
Aberystwyth,A0092
Abhidhamma_Pitaka,A0093
Abidjan,A0094
Abkhazia,A0095
Able_Archer_83,A0096
Abraham_Goldfaden,A0097
Abraham_Lincoln,A0098
Absinthe,A0099
Absolute_zero,A0100
Abstract_art,A0101
Abu_Dhabi,A0102
Abuja,A0103
Acceleration,A0104
Accountancy,A0105
Accra,A0106
Acetic_acid,A0107
Acetone,A0108
Achilles,A0109
Achilles_tendon,A0110
Acid_rain,A0111
Acorn_Computers,A0112
Actinium,A0113
Action_potential,A0114
Actor,A0115
Acts_of_Union_1707,A0116
Actuary,A0117
Adam_Smith,A0118
Addis_Ababa,A0119
Adelaide,A0120
Adenosine_triphosphate,A0121
Adi_Shankara,A0122
Adolf_Hitler,A0123
Adriaen_van_der_Donck,A0124
Advertising,A0125
Aesthetics,A0126
Afghan_Hound,A0127
Afghanistan,A0128
Africa,A0129
African_American_literature,A0130
African_Black_Oystercatcher,A0131
African_Brush-tailed_Porcupine,A0132
African_Buffalo,A0133
African_Darter,A0134
African_Great_Lakes,A0135
African_Grey_Hornbill,A0136
African_Grey_Parrot,A0137
African_Jacana,A0138
African_Penguin,A0139
African_Union,A0140
African_Wild_Dog,A0141
African_clawed_frog,A0142
African_dwarf_frog,A0143
African_slave_trade,A0144
Afrikaans,A0145
Agamemnon,A0146
Age_of_Enlightenment,A0147
Aggregator,A0148
Agnosticism,A0149
Agriculture,A0150
Airbus,A0151
Airbus_A380,A0152
Aircraft,A0153
Aircraft_carrier,A0154
Airship,A0155
Ajax_%28programming%29,A0156
Akbar,A0157
Akhenaten,A0158
