From_Category,To_Category,Percentage_of_finished_paths,Percentage_of_unfinished_paths
C0001,C0001,67.34750134547984,32.65249865452016
C0001,C0002,68.16326530612245,31.836734693877553
C0001,C0003,61.33518776077886,38.66481223922114
C0001,C0004,65.99504029758215,34.00495970241786
C0001,C0005,87.56323777403036,12.436762225969646
C0001,C0006,57.697560975609754,42.302439024390246
C0001,C0007,55.127922364358184,44.872077635641816
C0001,C0008,79.39778129952457,20.602218700475436
C0001,C0009,67.30868665977249,32.69131334022751
C0001,C0010,66.86596910812158,33.134030891878425
C0001,C0011,58.41313269493844,41.58686730506156
C0001,C0012,73.97260273972603,26.027397260273972
C0001,C0013,61.74540682414698,38.25459317585302
C0001,C0014,68.50585371508056,31.494146284919438
C0001,C0015,75.36412817311694,24.63587182688306
C0001,C0016,64.3221624603503,35.6778375396497
C0001,C0017,68.16326530612245,31.836734693877553
C0001,C0019,69.31818181818181,30.681818181818183
C0001,C0020,58.09128630705394,41.90871369294606
C0001,C0021,78.60082304526749,21.39917695473251
C0001,C0022,46.900269541778975,53.099730458221025
C0001,C0023,46.18834080717489,53.81165919282511
C0001,C0024,41.02564102564103,58.97435897435897
C0001,C0025,35.810810810810814,64.1891891891892
C0001,C0026,63.1578947368421,36.8421052631579
C0001,C0027,58.57142857142857,41.42857142857143
C0001,C0028,74.68354430379746,25.31645569620253
C0001,C0029,73.52941176470588,26.470588235294116
C0001,C0030,78.45528455284553,21.54471544715447
C0001,C0031,68.30708661417323,31.69291338582677
C0001,C0032,68.86446886446886,31.135531135531135
C0001,C0033,70.97315436241611,29.026845637583893
C0001,C0034,56.39361989726953,43.60638010273047
C0001,C0035,45.643153526970956,54.356846473029044
C0001,C0036,58.333333333333336,41.666666666666664
C0001,C0037,30.684931506849313,69.31506849315069
C0001,C0038,66.72,33.28
C0001,C0039,61.6822429906542,38.3177570093458
C0001,C0040,56.814449917898195,43.185550082101805
C0001,C0041,52.96671490593343,47.03328509406657
C0001,C0042,53.00187617260788,46.99812382739212
C0001,C0043,34.18181818181818,65.81818181818181
C0001,C0044,60.50420168067227,39.49579831932773
C0001,C0045,71.55297532656023,28.447024673439767
C0001,C0046,67.80185758513932,32.19814241486068
C0001,C0047,70.83333333333333,29.166666666666668
C0001,C0048,41.72043010752688,58.27956989247312
C0001,C0049,85.79945799457994,14.200542005420054
C0001,C0050,69.6969696969697,30.303030303030305
C0001,C0051,82.87724784988272,17.12275215011728
C0001,C0052,78.18181818181819,21.818181818181817
C0001,C0053,88.33535844471446,11.664641555285542
C0001,C0054,81.6,18.4
C0001,C0055,83.1413612565445,16.858638743455497
C0001,C0056,74.04891304347827,25.95108695652174
C0001,C0057,68.22742474916387,31.77257525083612
C0001,C0058,86.58698539176626,13.413014608233732
C0001,C0059,69.14556962025317,30.854430379746834
C0001,C0060,65.28497409326425,34.715025906735754
C0001,C0061,64.81481481481481,35.18518518518518
C0001,C0062,75.3935860058309,24.606413994169095
C0001,C0063,62.083333333333336,37.916666666666664
C0001,C0064,64.58333333333333,35.416666666666664
C0001,C0065,71.81088314005352,28.189116859946477
C0001,C0066,75.70093457943925,24.299065420560748
C0001,C0067,64.38721136767317,35.61278863232682
C0001,C0068,64.26696662917135,35.73303337082864
C0001,C0069,65.78947368421052,34.21052631578947
C0001,C0070,65.76151121605668,34.23848878394333
C0001,C0071,64.74358974358974,35.256410256410255
C0001,C0072,60.59701492537314,39.40298507462686
C0001,C0073,55.69892473118279,44.30107526881721
C0001,C0074,80.13698630136986,19.863013698630137
C0001,C0075,69.29824561403508,30.70175438596491
C0001,C0076,61.111111111111114,38.888888888888886
C0001,C0077,44.680851063829785,55.319148936170215
C0001,C0078,73.89558232931726,26.104417670682732
C0001,C0079,61.77105831533477,38.22894168466523
C0001,C0080,18.81188118811881,81.18811881188118
C0001,C0081,87.2566371681416,12.743362831858407
C0001,C0082,64.64646464646465,35.35353535353536
C0001,C0083,65.73705179282868,34.26294820717131
C0001,C0084,38.44444444444444,61.55555555555556
C0001,C0085,62.595419847328245,37.404580152671755
C0001,C0086,53.333333333333336,46.666666666666664
C0001,C0087,78.13267813267814,21.867321867321866
C0001,C0088,64.86486486486487,35.13513513513514
C0001,C0089,51.15942028985507,48.84057971014493
C0001,C0090,61.98347107438016,38.01652892561984
C0001,C0091,30.716723549488055,69.28327645051195
C0001,C0092,62.730627306273064,37.269372693726936
C0001,C0093,74.6875,25.3125
C0001,C0094,74.48979591836735,25.510204081632654
C0001,C0095,70.09345794392523,29.906542056074766
C0001,C0096,66.35802469135803,33.641975308641975
C0001,C0097,58.26086956521739,41.73913043478261
C0001,C0098,61.52980877390326,38.47019122609674
C0001,C0099,62.87128712871287,37.12871287128713
C0001,C0100,58.45070422535211,41.54929577464789
C0001,C0101,53.26086956521739,46.73913043478261
C0001,C0102,76.2063227953411,23.793677204658902
C0001,C0103,68.10631229235881,31.893687707641195
C0001,C0104,73.98843930635839,26.01156069364162
C0001,C0105,82.87255563047876,17.12744436952124
C0001,C0106,46.73913043478261,53.26086956521739
C0001,C0107,74.69135802469135,25.308641975308642
C0001,C0108,43.17032040472176,56.82967959527824
C0001,C0109,88.69047619047619,11.30952380952381
C0001,C0110,60.320284697508896,39.679715302491104
C0001,C0111,78.92030848329048,21.079691516709513
C0001,C0112,57.02479338842975,42.97520661157025
C0001,C0113,77.31343283582089,22.686567164179106
C0001,C0114,74.5583038869258,25.441696113074205
C0001,C0115,80.26070763500931,19.73929236499069
C0001,C0116,65.54307116104869,34.45692883895131
C0001,C0117,56.988545744526604,43.011454255473396
C0001,C0118,79.4296788482835,20.570321151716502
C0001,C0119,75.12837686983701,24.871623130162984
C0001,C0120,87.63676148796499,12.36323851203501
C0001,C0121,81.99753390875462,18.002466091245378
C0001,C0122,90.77551020408163,9.224489795918368
C0001,C0123,87.73764258555133,12.262357414448669
C0001,C0124,87.78801843317973,12.211981566820276
C0001,C0125,74.55197132616487,25.448028673835125
C0001,C0126,60.686119873817034,39.313880126182966
