Category_ID,Number_of_human_paths_traversed,Number_of_human_times_traversed,Number_of_shortest_paths_traversed,Number_of_shortest_times_traversed
C0001,70,70,69,69
C0002,0,0,0,0
C0003,0,0,0,0
C0004,0,0,0,0
C0005,28376,41956,20402,24289
C0006,0,0,0,0
C0007,0,0,0,0
C0008,0,0,0,0
C0009,0,0,0,0
C0010,0,0,0,0
C0011,0,0,0,0
C0012,1993,3180,2455,2827
C0013,0,0,0,0
C0014,0,0,0,0
C0015,0,0,0,0
C0016,0,0,0,0
C0017,1430,2005,1166,1302
C0018,0,0,0,0
C0019,1538,1854,972,1018
C0020,1204,1267,723,737
C0021,711,1030,523,583
C0022,779,949,558,608
C0023,543,646,357,402
C0024,546,566,124,129
C0025,197,208,161,167
C0026,967,1121,544,557
C0027,889,1065,474,493
C0028,1970,2389,1961,2025
C0029,879,1086,596,638
C0030,2127,2582,899,934
C0031,6607,8484,3406,3680
C0032,653,850,582,661
C0033,1766,1882,1698,1727
C0034,4907,6380,3595,3780
C0035,766,952,741,846
C0036,407,462,459,470
C0037,1081,1248,1084,1153
C0038,1124,1818,969,1219
C0039,996,1095,925,945
C0040,3597,3930,1295,1332
C0041,1435,2304,1028,1295
C0042,5200,9516,5051,6603
C0043,379,616,347,385
C0044,843,894,568,570
C0045,1558,2118,1391,1524
C0046,818,940,627,651
C0047,377,397,365,399
C0048,1364,1734,970,1082
C0049,3995,5257,3918,4656
C0050,390,438,532,569
C0051,1481,1827,910,1036
C0052,3213,4463,1991,2152
C0053,6656,7488,4816,5251
C0054,7254,9196,3485,3758
C0055,2568,2949,2480,2682
C0056,8268,11959,5234,6260
C0057,1852,2395,2393,2695
C0058,698,727,644,654
C0059,3993,5653,2807,3073
C0060,731,878,685,744
C0061,890,993,704,728
C0062,11760,17414,6562,7520
C0063,805,818,690,691
C0064,572,867,476,592
C0065,3983,5287,3266,3656
C0066,425,466,331,341
C0067,1730,1809,632,642
C0068,5243,7208,7348,9007
C0069,97,98,94,94
C0070,2207,2760,1359,1518
C0071,437,449,323,323
C0072,851,922,725,743
C0073,1425,1586,842,876
C0074,1399,1601,905,944
C0075,1087,1475,368,427
C0076,1921,2436,2097,2234
C0077,117,133,113,126
C0078,1288,2035,919,1049
C0079,1338,2159,933,1076
C0080,352,363,185,185
C0081,4197,5211,2457,2729
C0082,1183,1289,337,347
C0083,1962,2097,1451,1453
C0084,677,707,642,650
C0085,744,872,469,523
C0086,1614,1978,1410,1481
C0087,629,1015,561,623
C0088,224,229,220,220
C0089,1588,2300,1036,1138
C0090,671,748,537,566
C0091,372,399,349,359
C0092,571,638,513,524
C0093,1299,1409,1067,1104
C0094,305,322,260,265
C0095,337,344,293,293
C0096,840,893,672,702
C0097,543,571,414,424
C0098,1693,1826,1572,1609
C0099,761,795,670,679
C0100,533,545,451,463
C0101,363,370,451,453
C0102,1103,2171,1071,1167
C0103,1140,1335,1106,1147
C0104,967,1048,884,930
C0105,2657,2810,2698,2835
C0106,166,166,178,178
C0107,1397,1534,1136,1166
C0108,611,640,589,615
C0109,1681,2017,1533,1672
C0110,1675,1853,1261,1312
C0111,1468,1879,1203,1306
C0112,1041,1318,509,531
C0113,1269,1542,918,962
C0114,552,607,476,495
C0115,2899,4152,1861,1970
C0116,502,543,384,401
C0117,0,0,0,0
C0118,0,0,0,0
C0119,0,0,0,0
C0120,3369,4133,2426,2566
C0121,2395,2928,2887,3077
C0122,12181,15176,6464,6985
C0123,4979,6346,5285,5531
C0124,1346,1709,1180,1245
C0125,769,1058,603,660
C0126,2926,3916,2374,2477
C0127,487,519,400,411
C0128,2667,2937,1098,1166
C0129,2815,4611,2797,3791
C0130,1140,1756,1021,1381
C0131,942,1099,570,592
C0132,6732,10294,5127,5522
C0133,3263,4576,2727,3195
C0134,2444,4432,2027,2484
C0135,5817,9438,4942,5627
C0136,936,1013,767,781
C0137,3754,5945,3219,3486
C0138,1645,1935,1516,1769
C0139,4735,7090,4676,6198
C0140,3460,5060,2360,2809
C0141,629,661,443,446
C0142,1277,1744,751,818
C0143,3910,5588,2336,2631
C0144,4632,7520,4044,5998
C0145,1227,1999,945,1179
C0146,3959,4824,1844,1972
