From_Category,To_Category,Ratio_of_human_to_shortest
C0001,C0001,1.7612309801322297
C0001,C0002,1.8582834331337335
C0001,C0003,1.8785903250188953
C0001,C0004,1.7972992015030582
C0001,C0005,1.6931271064034574
C0001,C0006,1.8380340435125684
C0001,C0007,1.9114822964592932
C0001,C0008,1.6684630738522865
C0001,C0009,1.7768484732091383
C0001,C0010,1.859078489816196
C0001,C0011,1.8610200364298726
C0001,C0012,1.6469135802469144
C0001,C0013,1.7418880623450212
C0001,C0014,1.6737676254935157
C0001,C0015,1.7548775998527535
C0001,C0016,1.827263198017907
C0001,C0017,1.8582834331337335
C0001,C0019,2.0331284153005464
C0001,C0020,2.005357142857143
C0001,C0021,1.4633507853403138
C0001,C0022,1.8975095785440608
C0001,C0023,2.020064724919095
C0001,C0024,1.5920138888888886
C0001,C0025,1.8584905660377362
C0001,C0026,1.9040404040404038
C0001,C0027,1.9884823848238486
C0001,C0028,1.9797175141242926
C0001,C0029,1.630166666666667
C0001,C0030,1.922711571675302
C0001,C0031,1.7042907460774877
C0001,C0032,1.854166666666667
C0001,C0033,1.6422773837667446
C0001,C0034,1.8946069031639565
C0001,C0035,1.6309848484848481
C0001,C0036,1.7813852813852813
C0001,C0037,2.204613095238096
C0001,C0038,1.8618705035971217
C0001,C0039,2.0836489898989896
C0001,C0040,2.0036127167630062
C0001,C0041,1.7637522768670315
C0001,C0042,1.9789675516224239
C0001,C0043,2.1781914893617023
C0001,C0044,1.9861111111111107
C0001,C0045,1.632860040567952
C0001,C0046,1.6768645357686445
C0001,C0047,1.571691176470588
C0001,C0048,2.0890893470790384
C0001,C0049,1.6446093914508328
C0001,C0050,1.6835748792270535
C0001,C0051,1.8299528301886785
C0001,C0052,1.8587424633936243
C0001,C0053,1.595751184471961
C0001,C0054,1.580718954248363
C0001,C0055,1.6386230058774158
C0001,C0056,1.5958562691131473
C0001,C0057,1.721200980392157
C0001,C0058,1.6735685071574653
C0001,C0059,1.7820556826849714
C0001,C0060,1.826719576719577
C0001,C0061,1.7729931972789108
C0001,C0062,1.6259860788863074
C0001,C0063,1.6185682326621926
C0001,C0064,1.6598566308243734
C0001,C0065,1.7851759834368521
C0001,C0066,1.7098765432098766
C0001,C0067,1.918145593869735
C0001,C0068,1.9317386231038536
C0001,C0069,1.6333333333333335
C0001,C0070,1.6557450628366255
C0001,C0071,1.504950495049505
C0001,C0072,1.6081280788177341
C0001,C0073,1.5140926640926633
C0001,C0074,1.4099002849002862
C0001,C0075,1.8510548523206747
C0001,C0076,2.0957070707070704
C0001,C0077,1.7301587301587302
C0001,C0078,1.6661835748792297
C0001,C0079,1.9680069930069939
C0001,C0080,2.0877192982456143
C0001,C0081,1.9976335361730917
C0001,C0082,2.04296875
C0001,C0083,1.9500000000000006
C0001,C0084,1.6058766859344897
C0001,C0085,1.7133130081300818
C0001,C0086,1.662590579710145
C0001,C0087,1.8283542976939196
C0001,C0088,1.4756944444444449
C0001,C0089,1.7463644948064216
C0001,C0090,1.7610000000000001
C0001,C0091,2.0366666666666666
C0001,C0092,1.7374509803921576
C0001,C0093,1.7346582984658292
C0001,C0094,1.8333333333333335
