From_ArticleID,To_ArticleID
A0001,A0531
A0001,A0975
A0001,A1116
A0001,A1773
A0001,A2150
A0001,A2174
A0001,A2816
A0001,A3099
A0001,A3249
A0001,A3655
A0001,A4397
A0002,A0039
A0002,A0449
A0002,A1075
A0002,A1102
A0002,A1433
A0002,A1440
A0002,A1511
A0002,A2432
A0002,A2506
A0002,A2930
A0002,A3165
A0002,A3289
A0002,A3568
A0002,A3902
A0002,A3969
A0002,A4149
A0002,A4181
A0002,A4294
A0002,A4543
A0003,A0099
A0003,A0536
A0003,A0934
A0003,A1200
A0003,A1306
A0003,A1569
A0003,A1577
A0003,A1695
A0003,A2096
A0003,A2184
A0003,A2410
A0003,A2956
A0003,A3136
A0003,A3160
A0003,A3238
A0003,A3437
A0003,A3465
A0003,A3969
A0003,A4307
A0003,A4418
A0004,A0769
A0004,A1390
A0004,A1683
A0004,A2150
A0004,A3018
A0004,A3112
A0004,A3471
A0004,A4294
A0005,A1116
A0005,A1265
A0005,A1386
A0005,A1773
A0005,A2150
A0005,A2485
A0005,A2733
A0005,A3655
A0005,A4365
A0005,A4574
A0006,A0374
A0006,A0378
A0006,A0401
A0006,A0545
A0006,A0564
A0006,A0713
A0006,A0829
A0006,A0847
A0006,A0911
A0006,A0967
A0006,A0979
A0006,A1246
A0006,A1440
A0006,A1511
A0006,A1569
A0006,A1627
A0006,A1695
A0006,A1794
A0006,A1851
A0006,A1864
A0006,A1920
A0006,A1945
A0006,A2150
A0006,A2184
A0006,A2574
A0006,A2613
A0006,A2765
A0006,A2813
A0006,A2877
A0006,A2956
A0006,A3033
A0006,A3037
A0006,A3314
A0006,A3323
A0006,A3489
A0006,A3615
A0006,A3623
A0006,A3816
A0006,A3830
A0006,A3925
A0006,A4255
A0006,A4294
A0006,A4297
A0006,A4298
A0006,A4345
A0006,A4466
A0006,A4592
A0007,A0008
A0007,A0063
A0007,A0188
A0007,A0536
A0007,A0607
A0007,A0735
A0007,A1140
A0007,A1256
A0007,A1569
A0007,A1695
A0007,A1780
A0007,A2099
A0007,A2184
A0007,A2338
A0007,A2485
A0007,A2705
A0007,A2748
A0007,A2816
A0007,A2902
A0007,A3224
A0007,A3286
A0007,A3655
A0007,A3792
A0007,A3969
A0007,A4148
A0007,A4365
A0008,A0007
A0008,A0009
A0008,A0010
A0008,A0011
A0008,A0013
A0008,A0016
A0008,A0018
A0008,A0020
A0008,A0025
A0008,A0027
A0008,A0028
A0008,A0039
A0008,A0040
A0008,A0041
A0008,A0043
A0008,A0051
A0008,A0057
A0008,A0059
A0008,A0060
A0008,A0061
A0008,A0063
A0008,A0502
A0008,A0735
A0008,A0785
A0008,A0895
A0008,A1086
A0008,A1140
A0008,A1223
A0008,A1286
A0008,A1327
A0008,A1386
A0008,A1517
A0008,A1569
A0008,A1697
A0008,A2099
A0008,A2240
A0008,A2438
A0008,A2589
A0008,A2698
A0008,A2902
A0008,A2985
A0008,A3009
A0008,A3012
A0008,A3027
A0008,A3323
A0008,A4148
A0008,A4365
A0008,A4499
A0009,A0007
A0009,A0008
A0009,A0010
A0009,A0011
A0009,A0013
A0009,A0016
A0009,A0018
A0009,A0020
A0009,A0025
A0009,A0027
A0009,A0028
A0009,A0039
A0009,A0040
A0009,A0041
A0009,A0043
A0009,A0051
A0009,A0057
A0009,A0059
A0009,A0060
A0009,A0061
A0009,A0063
A0009,A0261
A0009,A1079
A0009,A1386
A0009,A1569
A0009,A1576
A0009,A1590
A0009,A1658
A0009,A1902
A0009,A2038
A0009,A2083
A0009,A2099
A0009,A2145
A0009,A2150
A0009,A2819
A0009,A3160
A0009,A3323
A0009,A3495
A0009,A3597
A0009,A3680
A0009,A3695
A0009,A3969
A0009,A4037
A0009,A4115
A0009,A4148
A0010,A0009
A0010,A0011
A0010,A0266
A0010,A0312
A0010,A0358
A0010,A0461
A0010,A0722
A0010,A0735
A0010,A0763
A0010,A0895
A0010,A1137
A0010,A1434
A0010,A1576
A0010,A1590
A0010,A1658
A0010,A1996
A0010,A2038
A0010,A2083
A0010,A2145
A0010,A2171
A0010,A2174
A0010,A2286
A0010,A2413
A0010,A2603
A0010,A2618
A0010,A2649
A0010,A2819
A0010,A2902
A0010,A3022
A0010,A3655
A0010,A3902
A0010,A4032
A0010,A4114
A0010,A4148
A0011,A0010
A0011,A0013
A0011,A0081
A0011,A0424
A0011,A0604
A0011,A0721
A0011,A0895
A0011,A0908
A0011,A1137
A0011,A1140
A0011,A1317
A0011,A1386
A0011,A1392
A0011,A1434
A0011,A1569
A0011,A2037
A0011,A2078
A0011,A2099
A0011,A2171
A0011,A2184
A0011,A2524
A0011,A2783
A0011,A2983
A0011,A3115
A0011,A3286
A0011,A3312
A0011,A3465
A0011,A3745
A0011,A4148
A0011,A4152
A0011,A4418
A0012,A0033
A0012,A0128
A0012,A0394
A0012,A0755
A0012,A1290
A0012,A1473
A0012,A2101
A0012,A2110
A0012,A2147
A0012,A2374
A0012,A2375
A0012,A2805
A0012,A2857
A0012,A3137
A0012,A3208
A0012,A3556
A0012,A3575
A0012,A3795
A0012,A3860
A0012,A3935
A0012,A4281
A0012,A4294
A0012,A4298
A0012,A4543
A0013,A0007
A0013,A0008
A0013,A0009
A0013,A0010
A0013,A0011
A0013,A0016
A0013,A0018
A0013,A0020
A0013,A0025
A0013,A0027
A0013,A0028
A0013,A0039
A0013,A0040
A0013,A0041
A0013,A0043
A0013,A0051
A0013,A0057
A0013,A0059
A0013,A0060
A0013,A0061
A0013,A0063
A0013,A0348
A0013,A0424
A0013,A0443
A0013,A0501
A0013,A0541
A0013,A0735
A0013,A0911
A0013,A1434
A0013,A1569
A0013,A1912
A0013,A1914
A0013,A2037
A0013,A2097
A0013,A2099
A0013,A2101
A0013,A2245
A0013,A2250
A0013,A2258
A0013,A2360
A0013,A2447
A0013,A2524
A0013,A3012
A0013,A3115
A0013,A3226
A0013,A3268
A0013,A3286
A0013,A3323
A0013,A3465
A0013,A3493
A0013,A3830
A0013,A3832
A0013,A4148
A0013,A4152
A0013,A4344
A0013,A4414
A0013,A4594
A0014,A0015
A0014,A0580
A0014,A1160
A0014,A1456
A0014,A2309
A0014,A3448
A0014,A3792
A0014,A3940
A0015,A0014
A0015,A0580
A0015,A1160
A0015,A1282
A0015,A1456
A0015,A2309
A0015,A3259
A0015,A3675
A0015,A3792
A0015,A3872
A0015,A3940
A0015,A4425
A0016,A0007
A0016,A0008
A0016,A0009
A0016,A0010
A0016,A0011
A0016,A0013
A0016,A0018
A0016,A0020
A0016,A0025
A0016,A0027
A0016,A0028
A0016,A0039
A0016,A0040
A0016,A0041
A0016,A0043
A0016,A0051
A0016,A0057
A0016,A0059
A0016,A0060
A0016,A0061
A0016,A0063
A0016,A0157
A0016,A0217
A0016,A0233
A0016,A0264
A0016,A0424
A0016,A0434
A0016,A0443
A0016,A0685
A0016,A0694
A0016,A0863
A0016,A1325
A0016,A1333
A0016,A1368
A0016,A1386
A0016,A1434
A0016,A1491
A0016,A1538
A0016,A1569
A0016,A1574
A0016,A1627
A0016,A1695
A0016,A1756
A0016,A1888
A0016,A1911
A0016,A1912
A0016,A1925
A0016,A1996
A0016,A2038
A0016,A2099
A0016,A2145
A0016,A2150
A0016,A2181
A0016,A2184
A0016,A2185
A0016,A2203
A0016,A2227
A0016,A2264
A0016,A2301
A0016,A2447
A0016,A2672
A0016,A2680
A0016,A2681
A0016,A2765
A0016,A2783
A0016,A2812
A0016,A2956
A0016,A2980
A0016,A3076
A0016,A3115
A0016,A3135
A0016,A3223
A0016,A3292
A0016,A3323
A0016,A3465
A0016,A3530
A0016,A3651
A0016,A3830
A0016,A3831
A0016,A3833
A0016,A3930
A0016,A3940
A0016,A3969
A0016,A4031
A0016,A4122
A0016,A4148
A0016,A4344
A0016,A4414
A0016,A4423
A0016,A4505
A0016,A4510
A0017,A0378
A0017,A0463
A0017,A1284
A0017,A1386
A0017,A1434
A0017,A1511
A0017,A1666
A0017,A1751
A0017,A2093
A0017,A2150
A0017,A2234
A0017,A2488
A0017,A2676
A0017,A2843
A0017,A3011
A0017,A3215
A0017,A3226
A0017,A3323
A0017,A3464
A0017,A4067
A0017,A4246
A0017,A4344
A0017,A4386
A0018,A0007
A0018,A0008
A0018,A0009
A0018,A0010
A0018,A0011
A0018,A0013
A0018,A0016
A0018,A0020
A0018,A0025
A0018,A0027
A0018,A0028
A0018,A0039
A0018,A0040
A0018,A0041
A0018,A0043
A0018,A0051
A0018,A0057
A0018,A0059
A0018,A0060
A0018,A0061
A0018,A0063
A0018,A0340
A0018,A0438
A0018,A0459
A0018,A0474
A0018,A0573
A0018,A0620
A0018,A0694
A0018,A0753
A0018,A0769
A0018,A0791
A0018,A0860
A0018,A0861
A0018,A0895
A0018,A1022
A0018,A1368
A0018,A1386
A0018,A1508
A0018,A1569
A0018,A1627
A0018,A1729
A0018,A1751
A0018,A1909
A0018,A1996
A0018,A2038
A0018,A2099
A0018,A2150
A0018,A2166
A0018,A2184
A0018,A2214
A0018,A2215
A0018,A2227
A0018,A2254
A0018,A2257
A0018,A2272
A0018,A2278
A0018,A2561
A0018,A2679
A0018,A2783
A0018,A2796
A0018,A2956
A0018,A2963
A0018,A2965
A0018,A3012
A0018,A3061
A0018,A3115
A0018,A3207
A0018,A3214
A0018,A3225
A0018,A3286
A0018,A3323
A0018,A3391
A0018,A3464
A0018,A3568
A0018,A3655
A0018,A3804
A0018,A3830
A0018,A3841
A0018,A3969
A0018,A3989
A0018,A4009
A0018,A4017
A0018,A4119
A0018,A4148
A0018,A4492
A0018,A4496
A0018,A4505
A0019,A0374
A0019,A0375
A0019,A0394
A0019,A0401
A0019,A0695
A0019,A0908
A0019,A1070
A0019,A1110
A0019,A1292
A0019,A1333
A0019,A1434
A0019,A1551
A0019,A1569
A0019,A1695
A0019,A1794
A0019,A1795
A0019,A2038
A0019,A2539
A0019,A3065
A0019,A3160
A0019,A3530
A0019,A3531
A0019,A3695
A0019,A3759
A0019,A3851
A0019,A3974
A0019,A4298
A0020,A0007
A0020,A0008
